"_unit_id","_golden","_unit_state","_trusted_judgments","_last_judgment_at","birthplace","birthplace:confidence","date_of_birth","date_of_birth:confidence","race_ethnicity","race_ethnicity:confidence","religion","religion:confidence","sexual_orientation","sexual_orientation:confidence"
670454353,"FALSE","finalized",3,"2/10/15 3:45","Chisinau, Moldova",1,"30-Sep-1895",1,"White",1,"Na",1,"Straight",1
670454354,"FALSE","finalized",3,"2/10/15 2:03","Glasgow, Scotland",1,"2-Feb-1886",1,"White",1,"Na",1,"Straight",0.6842
670454355,"FALSE","finalized",3,"2/10/15 2:05","Chisinau, Moldova",1,"30-Sep-1895",1,"White",1,"Na",1,"Straight",1
670454356,"FALSE","finalized",3,"2/10/15 2:04","Chicago, Il",1,"23-Feb-1899",1,"White",1,"Na",1,"Straight",1
670454357,"FALSE","finalized",3,"2/10/15 1:48","Salt Lake City, Ut",1,"23-Apr-1894",1,"White",1,"Roman Catholic",1,"Straight",1
670454358,"FALSE","finalized",3,"2/10/15 3:50","Glasgow, Scotland",1,"2-Feb-1886",1,"White",1,"Na",1,"Straight",1
670454359,"FALSE","finalized",3,"2/10/15 2:07","Bisacquino, Sicily, Italy",1,"18-May-1897",1,"White",1,"Roman Catholic",1,"Straight",1
670454360,"FALSE","finalized",3,"2/10/15 1:46","Cape Elizabeth, Me",1,"1-Feb-1894",1,"White",1,"Roman Catholic",1,"Bisexual",1
670454361,"FALSE","finalized",3,"2/10/15 1:47","Bisacquino, Sicily, Italy",1,"18-May-1897",1,"White",1,"Roman Catholic",1,"Straight",1
670454362,"FALSE","finalized",3,"2/10/15 2:05","Los Angeles, Ca",1,"3-Oct-1898",1,"White",1,"Na",1,"Straight",1
670454363,"FALSE","finalized",3,"2/10/15 2:04","Bisacquino, Sicily, Italy",1,"18-May-1897",1,"White",1,"Roman Catholic",1,"Straight",1
670454364,"FALSE","finalized",3,"2/10/15 2:10","Pasadena, Ca",1,"23-Feb-1883",1,"White",1,"Na",1,"Straight",1
670454365,"FALSE","finalized",3,"2/10/15 2:12","Cape Elizabeth, Me",1,"1-Feb-1894",1,"White",1,"Roman Catholic",1,"Bisexual",1
670454366,"FALSE","finalized",3,"2/10/15 2:02","Cape Elizabeth, Me",1,"1-Feb-1894",1,"White",1,"Roman Catholic",1,"Bisexual",1
670454367,"FALSE","finalized",3,"2/10/15 3:57","Mulhouse, Haut-Rhin, Alsace, France",1,"1-Jul-1902",1,"White",1,"Na",1,"Straight",1
670454368,"FALSE","finalized",3,"2/10/15 2:02","Budapest, Hungary",1,"24-Dec-1886",1,"White",1,"Na",1,"Straight",1
670454369,"FALSE","finalized",3,"2/10/15 2:29","Los Angeles, Ca",1,"3-Oct-1898",1,"White",1,"Na",1,"Straight",1
670454370,"FALSE","finalized",3,"2/10/15 1:55","New York City",1,"11-Oct-18",1,"White",1,"Jewish",1,"Gay",1
670454371,"FALSE","finalized",3,"2/10/15 4:02","Sucha, Galicia, Austria",0.6667,"22-Jun-06",1,"White",1,"Jewish",1,"Straight",1
670454372,"FALSE","finalized",3,"2/10/15 2:12","Mulhouse, Haut-Rhin, Alsace, France",1,"1-Jul-1902",1,"White",1,"Na",1,"Straight",1
670454373,"FALSE","finalized",3,"2/10/15 1:46","Istanbul, Turkey",1,"7-Sep-09",1,"White",1,"Na",1,"Straight",1
670454374,"TRUE","golden",82,,"Nevada, Mo",1,"5-Aug-06",1,"White",1,"Na",1,"Straight",1
670454375,"FALSE","finalized",3,"2/10/15 3:50","Wilkes-Barre, Pa",1,"11-Feb-09",1,"White",1,"Jewish",1,"Straight",1
670454376,"FALSE","finalized",3,"2/10/15 1:51","Wilkes-Barre, Pa",1,"11-Feb-09",1,"White",1,"Jewish",1,"Straight",1
670454377,"FALSE","finalized",3,"2/10/15 2:15","Oakland, Ca",1,"18-Dec-04",1,"White",1,"Na",1,"Straight",1
670454378,"FALSE","finalized",3,"2/10/15 2:15","Cape Elizabeth, Me",1,"1-Feb-1894",1,"White",1,"Roman Catholic",1,"Bisexual",1
670454379,"FALSE","finalized",3,"2/10/15 1:57","Vienna, Austria",1,"29-Apr-07",1,"White",1,"Jewish",1,"Straight",1
670454380,"FALSE","finalized",3,"2/10/15 3:50","Istanbul, Turkey",1,"7-Sep-09",1,"White",1,"Na",1,"Straight",1
670454381,"FALSE","finalized",3,"2/10/15 3:53","Lawrence, Ks",1,"30-Jan-20",1,"White",1,"Presbyterian",1,"Straight",1
