"id_dailymintemp","dailymintemp","tempdate"
"1","20.7","01/01/1981"
"2","17.9","01/02/1981"
"3","18.8","01/03/1981"
"4","14.6","01/04/1981"
"5","15.8","01/05/1981"
"6","15.8","01/06/1981"
"7","15.8","01/07/1981"
"8","17.4","01/08/1981"
"9","21.8","01/09/1981"
"10","20","01/10/1981"
"11","16.2","01/11/1981"
"12","13.3","01/12/1981"
"13","16.7","01/13/1981"
"14","21.5","01/14/1981"
"15","25","01/15/1981"
"16","20.7","01/16/1981"
"17","20.6","01/17/1981"
"18","24.8","01/18/1981"
"19","17.7","01/19/1981"
"20","15.5","01/20/1981"
"21","18.2","01/21/1981"
"22","12.1","01/22/1981"
"23","14.4","01/23/1981"
"24","16","01/24/1981"
"25","16.5","01/25/1981"
"26","18.7","01/26/1981"
"27","19.4","01/27/1981"
"28","17.2","01/28/1981"
"29","15.5","01/29/1981"
"30","15.1","01/30/1981"
"31","15.4","01/31/1981"
"32","15.3","02/01/1981"
"33","18.8","02/02/1981"
"34","21.9","02/03/1981"
"35","19.9","02/04/1981"
"36","16.6","02/05/1981"
"37","16.8","02/06/1981"
"38","14.6","02/07/1981"
"39","17.1","02/08/1981"
"40","25","02/09/1981"
"41","15","02/10/1981"
"42","13.7","02/11/1981"
"43","13.9","02/12/1981"
"44","18.3","02/13/1981"
"45","22","02/14/1981"
"46","22.1","02/15/1981"
"47","21.2","02/16/1981"
"48","18.4","02/17/1981"
"49","16.6","02/18/1981"
"50","16.1","02/19/1981"
"51","15.7","02/20/1981"
"52","16.6","02/21/1981"
"53","16.5","02/22/1981"
"54","14.4","02/23/1981"
"55","14.4","02/24/1981"
"56","18.5","02/25/1981"
"57","16.9","02/26/1981"
"58","17.5","02/27/1981"
"59","21.2","02/28/1981"
"60","17.8","03/01/1981"
"61","18.6","03/02/1981"
"62","17","03/03/1981"
"63","16","03/04/1981"
"64","13.3","03/05/1981"
"65","14.3","03/06/1981"
"66","11.4","03/07/1981"
"67","16.3","03/08/1981"
"68","16.1","03/09/1981"
"69","11.8","03/10/1981"
"70","12.2","03/11/1981"
"71","14.7","03/12/1981"
"72","11.8","03/13/1981"
"73","11.3","03/14/1981"
"74","10.6","03/15/1981"
"75","11.7","03/16/1981"
"76","14.2","03/17/1981"
"77","11.2","03/18/1981"
"78","16.9","03/19/1981"
"79","16.7","03/20/1981"
"80","8.1","03/21/1981"
"81","8","03/22/1981"
"82","8.8","03/23/1981"
"83","13.4","03/24/1981"
"84","10.9","03/25/1981"
"85","13.4","03/26/1981"
"86","11","03/27/1981"
"87","15","03/28/1981"
"88","15.7","03/29/1981"
"89","14.5","03/30/1981"
"90","15.8","03/31/1981"
"91","16.7","04/01/1981"
"92","16.8","04/02/1981"
"93","17.5","04/03/1981"
"94","17.1","04/04/1981"
"95","18.1","04/05/1981"
"96","16.6","04/06/1981"
"97","10","04/07/1981"
"98","14.9","04/08/1981"
"99","15.9","04/09/1981"
"100","13","04/10/1981"
"101","7.6","04/11/1981"
"102","11.5","04/12/1981"
"103","13.5","04/13/1981"
"104","13","04/14/1981"
"105","13.3","04/15/1981"
"106","12.1","04/16/1981"
"107","12.4","04/17/1981"
"108","13.2","04/18/1981"
"109","13.8","04/19/1981"
"110","10.6","04/20/1981"
"111","9","04/21/1981"
"112","10","04/22/1981"
"113","9.8","04/23/1981"
"114","11.5","04/24/1981"
"115","8.9","04/25/1981"
"116","7.4","04/26/1981"
"117","9.9","04/27/1981"
"118","9.3","04/28/1981"
"119","9.9","04/29/1981"
"120","7.4","04/30/1981"
"121","8.6","05/01/1981"
"122","11.9","05/02/1981"
"123","14","05/03/1981"
"124","8.6","05/04/1981"
"125","10","05/05/1981"
"126","13.5","05/06/1981"
"127","12","05/07/1981"
"128","10.5","05/08/1981"
"129","10.7","05/09/1981"
"130","8.1","05/10/1981"
"131","10.1","05/11/1981"
"132","10.6","05/12/1981"
"133","5.3","05/13/1981"
"134","6.6","05/14/1981"
"135","8.5","05/15/1981"
"136","11.2","05/16/1981"
"137","9.8","05/17/1981"
"138","5.9","05/18/1981"
"139","3.2","05/19/1981"
"140","2.1","05/20/1981"
"141","3.4","05/21/1981"
"142","5.4","05/22/1981"
"143","9.6","05/23/1981"
"144","11.5","05/24/1981"
"145","12.3","05/25/1981"
"146","12.6","05/26/1981"
"147","11","05/27/1981"
"148","11.2","05/28/1981"
"149","11.4","05/29/1981"
"150","11.8","05/30/1981"
"151","12.8","05/31/1981"
"152","11.6","06/01/1981"
"153","10.6","06/02/1981"
"154","9.8","06/03/1981"
"155","11.2","06/04/1981"
"156","5.7","06/05/1981"
"157","7.1","06/06/1981"
"158","2.5","06/07/1981"
"159","3.5","06/08/1981"
"160","4.6","06/09/1981"
"161","11","06/10/1981"
"162","5.7","06/11/1981"
"163","7.7","06/12/1981"
"164","10.4","06/13/1981"
"165","11.4","06/14/1981"
"166","9.2","06/15/1981"
"167","6.1","06/16/1981"
"168","2.7","06/17/1981"
"169","4.3","06/18/1981"
"170","6.3","06/19/1981"
"171","3.8","06/20/1981"
"172","4.4","06/21/1981"
"173","7.1","06/22/1981"
"174","4.8","06/23/1981"
"175","5.8","06/24/1981"
"176","6.2","06/25/1981"
"177","7.3","06/26/1981"
"178","9.2","06/27/1981"
"179","10.2","06/28/1981"
"180","9.5","06/29/1981"
"181","9.5","06/30/1981"
"182","10.7","07/01/1981"
"183","10","07/02/1981"
"184","6.5","07/03/1981"
"185","7","07/04/1981"
"186","7.4","07/05/1981"
"187","8.1","07/06/1981"
"188","6.6","07/07/1981"
"189","8.3","07/08/1981"
"190","8.9","07/09/1981"
"191","4.6","07/10/1981"
"192","6.8","07/11/1981"
"193","5.7","07/12/1981"
"194","6.1","07/13/1981"
"195","7","07/14/1981"
"196","7.2","07/15/1981"
"197","6.3","07/16/1981"
"198","8.8","07/17/1981"
"199","5","07/18/1981"
"200","7.4","07/19/1981"
"201","10.1","07/20/1981"
"202","12","07/21/1981"
"203","9","07/22/1981"
"204","8.9","07/23/1981"
"205","9.8","07/24/1981"
"206","9","07/25/1981"
"207","9.2","07/26/1981"
"208","7.7","07/27/1981"
"209","8","07/28/1981"
"210","6.1","07/29/1981"
"211","3.5","07/30/1981"
"212","3.2","07/31/1981"
"213","5.7","08/01/1981"
"214","7.7","08/02/1981"
"215","9","08/03/1981"
"216","10","08/04/1981"
"217","6.2","08/05/1981"
"218","6.9","08/06/1981"
"219","6.5","08/07/1981"
"220","6.8","08/08/1981"
"221","7","08/09/1981"
"222","5.2","08/10/1981"
"223","3","08/11/1981"
"224","5.6","08/12/1981"
"225","7.9","08/13/1981"
"226","9","08/14/1981"
"227","8.6","08/15/1981"
"228","10.3","08/16/1981"
"229","10.5","08/17/1981"
"230","7.6","08/18/1981"
"231","9.7","08/19/1981"
"232","12.5","08/20/1981"
"233","7.4","08/21/1981"
"234","7.9","08/22/1981"
"235","3.9","08/23/1981"
"236","6.6","08/24/1981"
"237","4.6","08/25/1981"
"238","7","08/26/1981"
"239","6","08/27/1981"
"240","5.5","08/28/1981"
"241","8.1","08/29/1981"
"242","5.5","08/30/1981"
"243","6.2","08/31/1981"
"244","8","09/01/1981"
"245","10.3","09/02/1981"
"246","9.8","09/03/1981"
"247","9.6","09/04/1981"
"248","8.5","09/05/1981"
"249","7.5","09/06/1981"
"250","11.2","09/07/1981"
"251","14.6","09/08/1981"
"252","11.7","09/09/1981"
"253","7.8","09/10/1981"
"254","12.3","09/11/1981"
"255","10.1","09/12/1981"
"256","11.5","09/13/1981"
"257","7.3","09/14/1981"
"258","10.9","09/15/1981"
"259","14.1","09/16/1981"
"260","10.7","09/17/1981"
"261","16.9","09/18/1981"
"262","10.5","09/19/1981"
"263","6.5","09/20/1981"
"264","11","09/21/1981"
"265","6.3","09/22/1981"
"266","10.5","09/23/1981"
"267","7.2","09/24/1981"
"268","7.6","09/25/1981"
"269","10.7","09/26/1981"
"270","7.8","09/27/1981"
"271","9.6","09/28/1981"
"272","11.4","09/29/1981"
"273","12.4","09/30/1981"
"274","8.9","10/01/1981"
"275","13.2","10/02/1981"
"276","8.6","10/03/1981"
"277","6.2","10/04/1981"
"278","11.4","10/05/1981"
"279","13.2","10/06/1981"
"280","14.3","10/07/1981"
"281","7.3","10/08/1981"
"282","12.9","10/09/1981"
"283","7.8","10/10/1981"
"284","6.2","10/11/1981"
"285","5.6","10/12/1981"
"286","10","10/13/1981"
"287","13.3","10/14/1981"
"288","8.3","10/15/1981"
"289","10.2","10/16/1981"
"290","8.6","10/17/1981"
"291","7.3","10/18/1981"
"292","10.4","10/19/1981"
"293","11.2","10/20/1981"
"294","13.2","10/21/1981"
"295","11.4","10/22/1981"
"296","9.1","10/23/1981"
"297","6.6","10/24/1981"
"298","8.4","10/25/1981"
"299","9.7","10/26/1981"
"300","13.2","10/27/1981"
"301","12.5","10/28/1981"
"302","11","10/29/1981"
"303","11","10/30/1981"
"304","11.7","10/31/1981"
"305","9.2","11/01/1981"
"306","11.5","11/02/1981"
"307","13.6","11/03/1981"
"308","13.7","11/04/1981"
"309","10.4","11/05/1981"
"310","11.5","11/06/1981"
"311","7.6","11/07/1981"
"312","9.6","11/08/1981"
"313","14.2","11/09/1981"
"314","15.7","11/10/1981"
"315","10.5","11/11/1981"
"316","10.5","11/12/1981"
"317","9.7","11/13/1981"
"318","9.5","11/14/1981"
"319","11.3","11/15/1981"
"320","8.9","11/16/1981"
"321","9.4","11/17/1981"
"322","11.9","11/18/1981"
"323","11.7","11/19/1981"
"324","13.4","11/20/1981"
"325","12.6","11/21/1981"
"326","10.1","11/22/1981"
"327","15.8","11/23/1981"
"328","13.6","11/24/1981"
"329","11.9","11/25/1981"
"330","9.9","11/26/1981"
"331","12.6","11/27/1981"
"332","17.8","11/28/1981"
"333","15","11/29/1981"
"334","13.6","11/30/1981"
"335","13.4","12/01/1981"
"336","10.5","12/02/1981"
"337","14.2","12/03/1981"
"338","11.5","12/04/1981"
"339","13","12/05/1981"
"340","15","12/06/1981"
"341","14.7","12/07/1981"
"342","12.6","12/08/1981"
"343","12.5","12/09/1981"
"344","13.5","12/10/1981"
"345","14.8","12/11/1981"
"346","17.2","12/12/1981"
"347","9.7","12/13/1981"
"348","12.1","12/14/1981"
"349","12.8","12/15/1981"
"350","11.2","12/16/1981"
"351","16.4","12/17/1981"
"352","15.6","12/18/1981"
"353","13.3","12/19/1981"
"354","11","12/20/1981"
"355","11.1","12/21/1981"
"356","15","12/22/1981"
"357","12.8","12/23/1981"
"358","15","12/24/1981"
"359","14.2","12/25/1981"
"360","14","12/26/1981"
"361","15.5","12/27/1981"
"362","13.3","12/28/1981"
"363","15.6","12/29/1981"
"364","15.2","12/30/1981"
"365","17.4","12/31/1981"
"366","17","01/01/1982"
"367","15","01/02/1982"
"368","13.5","01/03/1982"
"369","15.2","01/04/1982"
"370","13","01/05/1982"
"371","12.5","01/06/1982"
"372","14.1","01/07/1982"
"373","14.8","01/08/1982"
"374","16.2","01/09/1982"
"375","15.8","01/10/1982"
"376","19.1","01/11/1982"
"377","22.2","01/12/1982"
